Sacrifice ID,ID #,Sample Type,Clear Fiber,Blue Fiber,Blue Film,Blue Foam,Black Film,Black Fiber,Red Fiber,Red Film,Purple Fiber,Grey Fiber,Green Fiber,Total,FL (mm),TL (mm),St. W (g),SV W (g),FW (g),Species,CommonName,Maturity
SC62220,19,B,0,0,0,0,0,0,0,0,0,0,0,0,487,615,11,11,1215,C. l,blacktip,FR
SC62220,19,DF,0,0,0,0,0,0,0,0,0,0,0,0,487,615,11,11,1215,C. l,blacktip,FR
SC63020,1,S,1,0,1,0,0,0,0,0,0,0,0,2,445,567,12,14,781,C. l,blacktip,MH
SC63020,1,V,1,0,0,0,0,0,0,0,0,0,0,1,445,567,12,14,781,C. l,blacktip,MH
SC63020,1,B,1,0,0,0,0,0,0,0,0,0,0,1,445,567,12,14,781,C. l,blacktip,MH
SC63020,1,DF,0,0,0,0,0,0,0,0,0,0,0,0,445,567,12,14,781,C. l,blacktip,MH
SC63020,2,S,0,0,0,0,0,0,0,0,0,0,0,0,423,,18,12,1418,C. l,blacktip,MH
SC63020,2,V,0,0,0,0,0,0,0,0,0,0,0,0,423,,18,12,1418,C. l,blacktip,MH
SC63020,2,B,0,0,0,0,0,0,0,0,0,0,0,0,423,,18,12,1418,C. l,blacktip,MH
SC63020,2,DF,0,0,0,0,0,0,0,0,0,0,0,0,423,,18,12,1418,C. l,blacktip,MH
MP70220,1,S,1,1,0,0,0,0,0,0,0,0,0,2,325,402,11,4,211,R. t,sharpnose,MH
MP70220,1,V,0,0,0,0,0,1,0,0,0,0,0,1,325,402,11,4,211,R. t,sharpnose,MH
MP70220,1,B,0,0,0,0,0,0,0,0,0,0,0,0,325,402,11,4,211,R. t,sharpnose,MH
MP70220,1,DF,1,0,0,0,0,1,0,0,0,0,0,2,325,402,11,4,211,R. t,sharpnose,MH
MP70220,2,S,0,0,0,0,0,0,0,0,0,0,0,0,470,602,38,13,542,S. t,hammer head,MH
MP70220,2,V,0,0,0,0,0,0,0,0,0,0,0,0,470,602,38,13,542,S. t,hammer head,MH
MP70220,2,B,0,0,0,0,0,0,0,0,0,0,0,0,470,602,38,13,542,S. t,hammer head,MH
MP70220,2,DF,0,0,0,0,0,0,0,0,0,0,0,0,470,602,38,13,542,S. t,hammer head,MH
MP70220,4,S,0,0,0,0,0,0,0,0,0,0,0,0,504,627,85,30,1337,C. l,blacktip,MH
MP70220,4,V,1,0,0,0,0,0,0,0,0,0,0,1,504,627,85,30,1337,C. l,blacktip,MH
MP70220,4,B,0,0,0,0,0,0,0,0,0,0,0,0,504,627,85,30,1337,C. l,blacktip,MH
